
"state","county","anew_score"
"alabama","calhoun",7.91
"alabama","calhoun",2.95
"alabama","calhoun",7.47
"alabama","calhoun",5.31
"alabama","chambers",5.11
"alabama","chambers",8.28
"alabama","chambers",2.12
"alabama","chambers",6.86
"alabama","chambers",8.38
"alabama","chambers",8.21
"alabama","chambers",4.33
"alabama","chambers",7.84
"alabama","chambers",7.84
"alabama","chambers",6.45
"alabama","chambers",7.47
"alabama","chambers",6.38
"alabama","chambers",7.36
"alabama","chambers",2.31
"alabama","chambers",5.15
"alabama","chambers",7.47
"alabama","chambers",5.455
"alabama","chambers",5.55
"alabama","chambers",7.27
"alabama","chambers",5.96
"alabama","chambers",8.05
"alabama","chambers",6.405
"alabama","chambers",7.59
"alabama","chambers",4.93
"alabama","chambers",7.73
"alabama","chambers",4.71
"alabama","chambers",2.12
"alabama","chambers",3.14
"alabama","chambers",6.785
"alabama","chambers",5.43
"alabama","chambers",5.55
"alabama","chambers",5.22
"alabama","chambers",7.51
"alabama","chambers",7.02
"alabama","chambers",6.73
"alabama","chambers",6.42333333333333
"alabama","chambers",7.15
"alabama","chambers",6.08333333333333
"alabama","chambers",6.32
"alabama","chambers",6.73
"alabama","chambers",2.95
"alabama","chambers",7.2
"alabama","chambers",7.815
"alabama","chambers",7.2
"alabama","chambers",6.47
"alabama","chambers",5.2
"alabama","chambers",6.03
"alabama","cherokee",6.411111111
"alabama","cherokee",5.31
"alabama","chilton",7.565
"alabama","chilton",8.72
"alabama","chilton",7.33
"alabama","choctaw",5.31
"alabama","choctaw",7.33
"alabama","choctaw",7.33
"alabama","choctaw",7.2
"alabama","choctaw",5.15
"alabama","choctaw",6.21
"alabama","choctaw",7.47
"alabama","choctaw",6.16
"alabama","choctaw",7.565
"alabama","clarke",2.24
"alabama","clarke",6.55
"alabama","clarke",8.02
"alabama","clarke",6.55
"alabama","clarke",7.47
"alabama","clarke",6.55
"alabama","clarke",5.55
"alabama","clarke",6.55
"alabama","coffee",8.72
"alabama","coffee",7.27
"alabama","coffee",8.72
"alabama","coffee",7.62
"alabama","coffee",8.545
"alabama","coffee",8.05142857142857
"alabama","colbert",5.84
"alabama","colbert",1.95
"alabama","colbert",6.29
"alabama","colbert",7.27
"alabama","colbert",5.31
"alabama","colbert",8.72
"alabama","colbert",7.77
"alabama","colbert",6.411111111
"alabama","colbert",6.87
"alabama","colbert",8.72
"alabama","colbert",7.3
"alabama","colbert",7.47
"alabama","colbert",5.55
"alabama","colbert",8.1
"alabama","colbert",5.31
"alabama","colbert",8.72
"alabama","colbert",7.47
"alabama","colbert",8.72
"alabama","colbert",7.33
"alabama","colbert",5.31
"alabama","colbert",7.33
"alabama","conecuh",7.47
"alabama","conecuh",4.05
"alabama","conecuh",6.411111111
"alabama","conecuh",7.6
"alabama","conecuh",6.644
"alabama","conecuh",6.87
"alabama","conecuh",6.87
"alabama","conecuh",7.6
"alabama","conecuh",2.25
"alabama","conecuh",7.73
"alabama","conecuh",7.17
"alabama","conecuh",7.51
"alabama","conecuh",6.87
"alabama","conecuh",3.81
"alabama","conecuh",7.05
"alabama","conecuh",3.47
"alabama","conecuh",5.63666666666667
"alabama","conecuh",8.37
"alabama","conecuh",5.31
"alabama","cullman",7.99333333333333
"alabama","cullman",8.26
"alabama","cullman",8.72
"alabama","cullman",6.55
"alabama","dale",1.61
"alabama","dale",6.87
"alabama","dale",6.411111111
"alabama","dale",7.05
"alabama","dale",2.95
"alabama","dale",4.61
"alabama","dale",6.38
"alabama","dale",8.72
"alabama","dale",5.55
"alabama","dale",5.15
"alabama","dallas",7.81
"alabama","dallas",7.73
"alabama","dallas",6.5
"alabama","dallas",2.12
"alabama","dallas",7.47
"alabama","dallas",2.28
"alabama","dallas",4.95
"alabama","dallas",7.47
"alabama","dallas",7.47
"alabama","dallas",7.67
"alabama","dallas",2.12
"alabama","dallas",5.31
"alabama","dallas",6.73
"alabama","dallas",7.73
"alabama","dallas",6.86
"alabama","dallas",5.78
"alabama","dallas",6.59
"alabama","dallas",5.78
"alabama","dallas",8.21
"alabama","dallas",7.47
"alabama","dallas",6.68
"alabama","dallas",1.9
"alabama","dallas",2.24
"alabama","dallas",5.54
"alabama","dallas",5.39
"alabama","dallas",7.53
"alabama","dallas",4.31
"alabama","dallas",4.74
"alabama","dallas",7.6
"alabama","dallas",5.55
"alabama","dallas",5.13
"alabama","dallas",2.79
"alabama","dallas",2.24
"alabama","dallas",6.411111111
"alabama","dallas",2.12
"alabama","dallas",2.85
"alabama","dallas",7.62
"alabama","elmore",8.72
"alabama","elmore",3.58
"alabama","elmore",8.72
"alabama","elmore",4.915
"alabama","elmore",2.24
"alabama","elmore",6.61
"alabama","elmore",6.63
"alabama","elmore",7.51
"alabama","elmore",8.13
"alabama","elmore",6.72
"alabama","elmore",8.13
"alabama","elmore",8.13
"alabama","elmore",7.47
"alabama","elmore",7.035
"alabama","elmore",2.24
"alabama","elmore",2.18
"alabama","elmore",4.93
"alabama","elmore",5.75
"alabama","elmore",3.525
"alabama","elmore",7.57
"alabama","elmore",8.22
"alabama","elmore",6.39
"alabama","elmore",8.26
"alabama","elmore",8.26
"alabama","elmore",6.39
"alabama","elmore",6.65
"alabama","elmore",8.13
"alabama","elmore",6.68
"alabama","elmore",2.88
"alabama","elmore",2.49
"alabama","elmore",7.05
"alabama","elmore",5.76
"alabama","elmore",7.91
"alabama","elmore",7.15
"alabama","elmore",7.47
"alabama","elmore",5.15
"alabama","elmore",2.44
"alabama","elmore",5.55
"alabama","elmore",7.84
"alabama","elmore",5.31
"alabama","elmore",2
"alabama","elmore",8.025
"alabama","elmore",2.13
"alabama","escambia",8.72
"alabama","escambia",8.72
"alabama","escambia",8.72
"alabama","escambia",7.11
"alabama","escambia",5.31
"alabama","escambia",4.845
"alabama","escambia",6.67
"alabama","escambia",1.61
"alabama","escambia",8.055
"alabama","escambia",7.74
"alabama","etowah",7.33
"alabama","etowah",7.47
"alabama","etowah",6.58666666666667
"alabama","etowah",8.72
"alabama","etowah",8.72
"alabama","etowah",7.39
"alabama","etowah",7.84
"alabama","etowah",5.22
"alabama","etowah",7.59
"alabama","etowah",2.45
"alabama","etowah",7.59
"alabama","etowah",7.26
"alabama","etowah",7.27
"alabama","etowah",2.41
"alabama","etowah",8.37
"alabama","etowah",7.51
"alabama","fayette",8.72
"alabama","franklin",7.25
"alabama","franklin",6.325
"alabama","greene",7.1
"alabama","greene",8.26
"alabama","greene",8.13
"alabama","hale",6.32
"alabama","hale",7.27
"alabama","hale",7.91
"alabama","hale",4.09
"alabama","hale",6.68
"alabama","hale",8.22
"alabama","hale",2.28
"alabama","hale",8.37
"alabama","hale",5.55
"alabama","henry",7.2
"alabama","henry",6.55
"alabama","henry",6.411111111
"alabama","henry",5.55
"alabama","henry",5.78
"alabama","henry",6.59
"alabama","henry",4.815
"alabama","henry",7.085
"alabama","henry",6.59
"alabama","henry",7.33
"alabama","henry",6.54
"alabama","henry",5.31
"alabama","henry",7.51
"alabama","henry",7.27
"alabama","henry",2.79
"alabama","henry",6.945
"alabama","henry",5.31
"alabama","henry",6.39
"alabama","henry",5.23
"alabama","henry",5.55
"alabama","henry",5.22
"alabama","henry",4.495
"alabama","henry",7.27
"alabama","henry",3.03
"alabama","henry",5.55
"alabama","henry",7.6
"alabama","henry",4.975
"alabama","henry",6.76
"alabama","henry",7.75
"alabama","henry",7.41
"alabama","henry",7.47
"alabama","henry",7.59
"alabama","henry",5.415
"alabama","henry",4.82
"alabama","henry",6.63
"alabama","henry",7.465
"alabama","henry",5.31
"alabama","henry",6.72666666666667
"alabama","henry",6.71
"alabama","henry",6.411111111
"alabama","henry",5.715
"alabama","henry",7.77
"alabama","henry",7.1
"alabama","henry",8.72
"alabama","henry",7.65666666666667
"alabama","henry",7.47
"alabama","henry",7.08
"alabama","henry",7.75
"alabama","henry",6.65
"alabama","henry",8.72
"alabama","henry",2.24
"alabama","henry",7.47
"alabama","henry",7.015
"alabama","henry",7.7
"alabama","henry",5.55
"alabama","henry",5.47
"alabama","henry",7.63666666666667
"alabama","henry",6.095
"alabama","henry",6.73
"alabama","henry",6.91
"alabama","henry",5.78
"alabama","henry",6.411111111
"alabama","henry",6.86
"alabama","henry",6.45
"alabama","henry",8.02
"alabama","henry",2.13
"alabama","henry",7.47
"alabama","henry",5.72
"alabama","henry",5.135
"alabama","henry",6.2
"alabama","henry",7.74
"alabama","henry",7.2
"alabama","henry",5.95
"alabama","henry",4.585
"alabama","henry",7.72
"alabama","henry",7.91
"alabama","henry",5.08
"alabama","henry",8.38
"alabama","henry",8.15
"alabama","henry",7.2
"alabama","henry",6.5
"alabama","henry",7.24
"alabama","henry",7.75
"alabama","henry",5.55
"alabama","henry",8.13
"alabama","henry",6.46
"alabama","henry",5.11
"alabama","henry",5.15
"alabama","henry",6.98
"alabama","henry",2.78
"alabama","henry",7.215
"alabama","henry",6.61
"alabama","henry",2.28
"alabama","henry",6.87
"alabama","henry",7.62
"alabama","henry",6.73
"alabama","henry",6.02
"alabama","henry",6.365
"alabama","henry",3.51
"alabama","houston",8.72
"alabama","houston",6.411111111
"alabama","houston",7.47
"alabama","houston",4.7325
"alabama","houston",6.49
"alabama","houston",8.15
"alabama","houston",7.595
"alabama","houston",8.15
"alabama","houston",7.44
"alabama","houston",7.47
"alabama","houston",7.055
"alabama","houston",6.92
"alabama","houston",6.411111111
"alabama","houston",7.7125
"alabama","houston",6.63
"alabama","houston",2.18
"alabama","houston",6.68
"alabama","houston",6.76
"alabama","houston",6.08
"alabama","houston",7.47
"alabama","houston",6.31
"alabama","houston",6.215
"alabama","houston",5.56
"alabama","houston",6.04
"alabama","houston",8.22
"alabama","houston",8.22
"alabama","houston",6.73
"alabama","houston",8.37
"alabama","houston",7.47
"alabama","houston",6.73
"alabama","houston",2.44
"alabama","houston",4.93
"alabama","houston",6.83666666666667
"alabama","houston",5.31
"alabama","jackson",4.38
"alabama","jackson",1.5
"alabama","jackson",7.885
"alabama","jackson",4.95
"alabama","jackson",7.47
"alabama","jackson",7.05
"alabama","jackson",6.411111111
"alabama","jefferson",8.21
"alabama","jefferson",7.33
"alabama","jefferson",6.91
"alabama","jefferson",3.76
"alabama","jefferson",6.5
"alabama","jefferson",6.411111111
"alabama","jefferson",5.55
"alabama","jefferson",6.03
"alabama","jefferson",6.18
"alabama","jefferson",8.72
"alabama","jefferson",7.47
"alabama","jefferson",8.72
"alabama","jefferson",7.45
"alabama","jefferson",7.47
"alabama","jefferson",8.37
"alabama","jefferson",4.31
"alabama","jefferson",6.411111111
"alabama","jefferson",7.44
"alabama","jefferson",6.76
"alabama","jefferson",7.74
"alabama","jefferson",2.755555556
"alabama","jefferson",7.47
"alabama","jefferson",7.47
"alabama","jefferson",5.33
"alabama","jefferson",7.26
"alabama","jefferson",7.8
"alabama","jefferson",1.9
"alabama","jefferson",1.9
"alabama","jefferson",6.87
"alabama","jefferson",1.95
"alabama","jefferson",2.24
"alabama","jefferson",2.24
"alabama","jefferson",6.82
"alabama","jefferson",6.411111111
"alabama","jefferson",6.86
"alabama","jefferson",2.79
"alabama","jefferson",6.28
"alabama","jefferson",8.13
"alabama","jefferson",2.12
"alabama","jefferson",4.71
"alabama","jefferson",5.87666666666667
"alabama","jefferson",6.28
"alabama","jefferson",2.79
"alabama","jefferson",6.28
"alabama","jefferson",2.12
"alabama","jefferson",2.12
"alabama","jefferson",7.33
"alabama","jefferson",5.31
"alabama","jefferson",8.72
"alabama","jefferson",8.315
"alabama","jefferson",5.35
"alabama","jefferson",2.28
"alabama","jefferson",5.31
"alabama","jefferson",8.15
"alabama","jefferson",8.72
"alabama","jefferson",5.08
"alabama","jefferson",5.74
"alabama","jefferson",8.21
"alabama","jefferson",5.75
"alabama","jefferson",5.5
"alabama","jefferson",6.28
"alabama","jefferson",6.57
"alabama","jefferson",5.55
"alabama","jefferson",5.5
"alabama","jefferson",4.93
"alabama","jefferson",6.411111111
"alabama","jefferson",7.65
"alabama","jefferson",6.55
"alabama","jefferson",7.33
"alabama","jefferson",7.74
"alabama","jefferson",6.42
"alabama","jefferson",5.35
"alabama","jefferson",4.605
